ukrainian english
категорія category
від from
від vid
від by
для for
також also
про about
його his
його its
його him
був was
був been
населення demographics
населення population
було was
було been
він wien
він he
під underneath
під beneath
під under
після after
або or
або either
час times
час time
але but
області areas
які which
при pri
який which
була was
були been
були were
осіб persons
міста cities
міста whim
див see
село selo
село village
район raion
район district
через via
через due
через through
села villages
села sela
так yeah
так yes
тому ago
тому therefore
рік rick
рік year
відстань distance
ради council
сша usa
має has
має must
область oblast
область area
того togo
яка what
яка which
вони they
сайті website
близько close
близько near
війни wars
файл file
між between
роки years
обговорення discussion
обговорення discussions
обговорення discuss
коли when
вона she
лише only
список list
вересня september
цей this
березня march
місце spot
місце place
місце location
місце seat
муніципалітет municipality
україні ukraine
серпня august
січня january
став became
травня may
грудня december
інших other
інших others
жовтня october
жовтня oct
серед among
серед midst
серед amongst
якщо if
один one
липня july
участь participating
участь involvement
участь participation
участь participate
вид kind
вид species
вид view
можна can
червня june
місто town
місто city
вже already
життя life
життя lifestyle
срср ussr
квітня april
листопада november
лютого february
лютого feb
опис description
центр ops
центр center
центр centre
захід west
тільки only
франції france
щоб to
бути be
століття centuries
століття century
рада council
рада rada
відстані distances
схід east
статті articles
склад syllable
склад warehouse
міні mini
особи persons
особи person
над over
історія story
історія history
зображення images
зображення picture
зображення image
зображення pictures
пункти items
пункти points
пункти options
пункти entries
код code
сайт website
сайт site
разом together
інші other
інші others
проти versus
проти against
тут here
український ukrainian
початку inception
мова language
історії stories
історії history
всі all
багато lots
багато many
багато much
більше greater
більше bigger
більше more
кількість count
кількість nb
кількість number
кількість quantity
шаблони templates
шаблони patterns
дуже very
два two
перший first
площа plaza
площа square
площа area
країни country
країни countries
назва name
назва title
наук sciences
розташований located
без without
голова head
голова chairman
народився born
щодо about
щодо regarding
сторінка page
той that
росії russia
наприклад eg
все everything
все all
київ kyiv
київ kiev
зокрема including
роботи work
біля near
проте nonetheless
веб web
статтю article
праворуч right
потім then
землі earth
армії armies
армії army
однак however
саме precisely
саме samer
саме exactly
північний north
північний northern
протягом throughout
день day
частина part
південний southern
південний south
смерті death
період period
перша first
такі following
такі such
двох two
навіть even
розташування placement
розташування positioning
розташування locations
розташування arrangement
розташування location
розташування position
кар career
три three
отримав gaining
працював worked
висота altitude
висота elevation
висота height
входить enters
входить includes
себе myself
себе himself
себе yourself
шаблонів stencil
шаблонів stencils
різних different
фільми films
фільми movies
сільська rural
церква church
створення creating
створення generation
створення create
створення creation
створення composing
значення meaning
значення values
значення value
вул str
системи system
йому him
крім except
тоді then
ніж knife
адреса address
член member
член cock
франція france
адміністративний administrative
групи groups
буде will
буде bod
там there
динаміка dynamics
національний national
управління governance
управління management
всіх all
всіх everyone
нього him
річки rivers
дата date
тим tym
людей people
хоча although
хоча though
мови languages
мови language
українська ukrainian
поселення settlement
розподіл distribution
знаходиться located
пізніше later
розвитку development
вулиця street
кілька few
хімічно chemically
згодом later
провінції provinces
картка card
часто frequently
часто often
олександр alexander
офіційний official
тис taxus
департамент department
віком aged
тощо etc
майже almost
права right
права rights
муніципалітетів communes
церкви churches
стала constant
голови heads
голови transplant
південь south
вулиці streets
перед prior
перед before
сім seven
мав had
яке which
автор creator
автор author
володимир wladimir
володимир volodymyr
володимир vladimir
типу type
академії academy
фільм movie
фільм film
карта map
команди commands
команди teams
іван ivan
іван john
використання usage
використання using
