ukrainian english
категорія category
також also
його his
його its
його him
населення demographics
населення population
під underneath
під beneath
під under
після after
час times
час time
області areas
осіб persons
міста cities
міста whim
див see
село village
район district
через via
через due
через through
села villages
тому ago
тому therefore
рік rick
рік year
відстань distance
ради council
сша usa
має has
має must
область area
сайті website
близько close
близько near
війни wars
файл file
між between
роки years
обговорення discussion
обговорення discussions
обговорення discuss
лише only
список list
вересня september
березня march
серпня august
січня january
став became
травня may
грудня december
інших other
інших others
жовтня october
жовтня oct
серед among
серед midst
серед amongst
один one
липня july
вид kind
вид species
вид view
можна can
червня june
місто town
місто city
вже already
життя life
життя lifestyle
срср ussr
квітня april
листопада november
лютого february
лютого feb
опис description
центр ops
захід west
тільки only
століття centuries
століття century
рада council
відстані distances
схід east
статті articles
статті article
склад syllable
склад warehouse
особи persons
особи person
над over
історія story
історія history
код code
сайт website
сайт site
разом together
інші other
інші others
проти versus
проти against
початку inception
мова language
історії stories
історії history
всі all
багато lots
багато many
багато much
більше greater
більше bigger
більше more
кількість count
кількість number
кількість quantity
шаблони templates
шаблони patterns
дуже very
два two
перший first
площа plaza
площа square
площа area
країни country
країни countries
назва name
назва title
наук sciences
розташований located
без without
голова head
голова chairman
народився born
щодо regarding
сторінка page
росії russia
все everything
все all
київ kiev
зокрема including
роботи work
біля near
проте nonetheless
веб web
статтю article
праворуч right
потім then
землі earth
армії army
однак however
саме precisely
саме exactly
північний north
північний northern
протягом throughout
день day
частина part
південний southern
південний south
смерті death
перша first
такі following
такі such
двох two
навіть even
кар career
три three
отримав gaining
працював worked
висота altitude
висота elevation
висота height
входить enters
входить includes
себе myself
себе himself
себе yourself
шаблонів stencil
шаблонів stencils
різних different
фільми movies
сільська rural
церква church
значення meaning
значення values
значення value
вул str
йому him
крім except
тоді then
ніж knife
адреса address
член member
член cock
групи groups
буде will
буде bod
національний national
управління governance
управління management
всіх all
всіх everyone
нього him
річки rivers
дата date
людей people
хоча although
хоча though
мови languages
мови language
поселення settlement
розподіл distribution
знаходиться located
пізніше later
розвитку development
вулиця street
кілька few
хімічно chemically
згодом later
картка card
часто frequently
часто often
олександр alexander
офіційний official
тис taxus
віком aged
тощо etc
майже almost
права right
права rights
муніципалітетів communes
церкви churches
стала constant
голови heads
голови transplant
південь south
вулиці streets
перед prior
перед before
сім seven
мав had
автор creator
автор author
володимир wladimir
володимир vladimir
типу type
академії academy
фільм movie
карта map
команди commands
команди teams
іван john
головний chief
головний main
зоря zarya
зоря star
деякі some
музей museum
діяльність activities
діяльність activity
частини parts
закінчив finished
джерела sources
джерела providers
джерела source
кам camps
честь honour
честь honor
своїх their
сил forces
померли deaths
дві two
діяльності activities
діяльності activity
клуб club
ігор games
перелік list
перелік enumeration
роль role
складається consists
свої their
свої its
відомий famous
микола nikolai
микола nicolai
микола nikolay
спочатку initially
школа school
право jus
право right
право law
євро euro
далі further
далі farther
далі next
знову again
стали became
одна one
моря seas
стаття article
стаття paragraph
звання ranks
звання rank
помер dead
помер died
родини families
польщі poland
група group
новий new
зір eyesight
зір vision
великий big
великий great
назви names
залізниця railroad
залізниця railways
залізниця railway
північ midnight
північ north
більшість most
більшість majority
особливо particularly
особливо especially
народження born
народження birth
влади authorities
округ subprefecture
округ district
будинок house
дослідження research
дослідження exploration
дослідження studies
війна war
війна warfare
комуни commune
приблизно approx
приблизно approximately
багатьох many
відповідно respectively
війська troops
велика big
велика magna
видів kinds
людини humans
дітей children
собою myself
собою yourself
мали had
доходів equality
основі bundles
статей articles
статей sexes
єднання fittings
син son
фізична physical
рішення decision
рішення decisions
рішення solutions
досить enough
досить quite
часів tenses
люди humans
люди people
тепер now
ним him
компанії companies
іншими humbled
іншими others
походження origin
дані data
роду rightfully
видання edition
видання issue
раніше previously
раніше earlier
раніше sooner
румунії romania
зазвичай normally
зазвичай usually
зазвичай typically
сан sens
використовується used
команда command
команда team
всього total
пояс waist
пояс belt
станція tashkent
станція station
станція novosibirsk
існує exist
існує exists
проект project
мати mother
чоловік husband
чоловік man
ліворуч left
усіх everyone
усіх yous
книги books
книги book
михайло mikhail
михайло michael
країн countries
нагороди awards
поштові postage
поштові postal
офіційна official
індекси indices
переважно mainly
переважно mostly
станції station
станції stations
світі tasted
світі littlest
немає none
освіти education
руху moving
японії japan
служби services
служби service
відомі known
відомі famed
виробництва manufacture
різні different
різні various
різні miscellaneous
треба need
треба gotta
довжина length
сили strength
сили forces
іграх olympics
шевченка chorus
основні basic
роботу work
неї convictions
неї neuilly
прапора flag
тих sew
тих those
дня day
твори essays
герб sigil
росія russia
василь basil
іспанії spain
місця places
місця locations
місця seats
відбувається happening
розвиток development
альбом album
товариства society
засновані based
гравці players
гравці ballers
серії episodes
німеччини germany
просто simply
просто just
нові new
письменник novelist
письменник writer
слова words
зараз now
зараз currently
працює running
працює works
батько father
декілька several
декілька multiple
відомості information
відомості details
розмір size
забезпечення assurance
президент president
президента presidential
москва moscow
повністю fully
повністю completely
повністю totally
пісні songs
члени members
науки science
нова new
річка river
чотири four
другий second
належить belonging
належить belongs
шаблон pattern
шаблон template
відкритий open
відкритий public
відкритий exposed
збройних armed
текст text
текст foreground
дерев trees
прапор flag
галузі industries
галузі industry
стає becomes
стає becoming
ширина width
чемпіон champion
гравець player
можливо maybe
можливо possible
поблизу near
поблизу nearby
стало became
стало felt
випадку case
юрій yury
великі large
великі big
король king
лінії lines
випускники graduates
учасник member
учасник contestant
учасник participant
існування existence
питань questions
питань clues
питань issues
доктор doctor
художник painter
художник artist
форми shapes
собі myself
собі yourself
підприємства enterprises
підприємства enterprise
творів multimedia
творів compositions
радянський soviet
заснування founding
правління trustees
правління board
правління government
сен seine
сен saint
поштовий postal
іноді sometimes
секретар secretary
галерея gallery
галерея galleria
друга second
друга friend
великих large
містить contains
містить holds
містить contain
територія territory
університеті campus
сьогодні today
проведення developing
види kinds
види species
дружина wife
світ world
зміни modifications
зміни shifts
зміни changes
ред raids
днів days
наукових scientific
номер number
справ affairs
програми application
програми applications
програми software
будівництво building
будівництво construction
тип type
зображень images
укр eng
чемпіонат fina
чемпіонат fis
чемпіонат championship
вище above
вище higher
категорії categories
проблеми issues
людина homo
людина human
людина man
вікіпедія wikipedia
головним mainly
число number
альбоми albums
розташовані located
розташовані stationed
білорусі belarus
петро pyotr
петро peter
петро piotr
отримала received
почали started
замість instead
комітету committee
мало knobs
рівні levels
виступав addressing
менше smaller
менше fewer
менше less
значно significantly
сезону season
правило rule
режисер director
чому why
завжди always
завжди anytime
загальна generic
загальна overall
загальна total
ряд series
погода weather
завод plant
вплив impact
вплив influence
рух motion
рух traffic
рух movement
компанія company
слід footprint
слід should
площі areas
віктор victor
будівництва construction
читати read
застосування applied
застосування imposing
застосування applying
закінчення end
останній last
перше first
скликання rada
слово word
книга book
захисту protective
захисту protecting
виступи shorter
